clean_text,sentiment
Kebijakan baru itu membuat harga semakin mahal,negative
Pemerintah gagal mengatasi masalah ekonomi,negative
DPR hanya sibuk debat tanpa solusi,negative
Bantuan sosial kali ini cukup tepat sasaran,positive
Harga kebutuhan pokok semakin tidak terkendali,negative
Infrastruktur di daerah mulai berkembang,positive
Banyak janji politik yang tidak ditepati,negative
Kebijakan pajak baru cukup memberatkan rakyat,negative
Presiden terlihat serius menangani korupsi,positive
Saya kecewa dengan kondisi pendidikan saat ini,negative
Program kesehatan gratis sangat bermanfaat,positive
Pemerintah terlalu lambat mengambil keputusan,negative
program jelek,negative
maju terus program MBG,positive
gas terus program MBG,positive
program gak jelas,negative
hancur ni program,negative
tolong programnya perlu dievaluasi agar berjalan dengan baik,negative
program jelek,negative
"terimakasih pemerintah, berkat MBG anak saya tidak kelaparan",positive
semangat terus pemerintah,positive
program jelek,negative
